row_id,simulation_id,time,salinity,temperature,u_velocity,v_velocity,water_level
1,1,1,30,1,0,0,1.89999997615814
2,1,2,30,1,0.231553569436073,0.334461838006973,0.376430213451385
3,1,3,30,1,0.120239868760109,0.387442350387573,-0.764851689338684
4,1,4,30,1,-0.217717796564102,0.0517559945583344,-0.874954164028168
5,1,5,30,1,-0.359561890363693,-0.147958770394325,0.345091193914413
6,1,6,30,1,-0.230442374944687,-0.019444577395916,1.05988347530365
7,1,7,30,1,0.156112000346184,0.275127559900284,0.289910346269608
8,1,8,30,1,0.0701956078410149,0.416793763637543,-0.815205514431
9,1,9,30,1,-0.247772797942162,0.125005304813385,-0.938730776309967
10,1,10,30,1,-0.374294877052307,-0.134927809238434,0.31735360622406
11,1,11,30,1,-0.232332244515419,-0.0331915616989136,1.05438423156738
